age,gender,education,country,ethnicity,nscore,escore,oscore,ascore,cscore,choc
2,Male,3,Canada,Mixed-White/Black,39,36,42,37,42,5
1,Female,0,Canada,Mixed-Black/Asian,29,52,55,48,41,6
2,Female,3,Canada,Mixed-Black/Asian,31,45,40,32,34,4
0,Male,2,Canada,Mixed-Black/Asian,34,34,46,47,46,4
2,Male,0,Canada,Mixed-Black/Asian,43,28,43,41,50,6
5,Male,0,New Zealand,Mixed-Black/Asian,29,38,35,55,52,4
3,Female,2,UK,Mixed-Black/Asian,31,32,43,41,48,5
2,Female,0,Canada,Mixed-Black/Asian,24,52,40,41,52,4
2,Male,3,New Zealand,Mixed-Black/Asian,42,55,39,48,49,6
4,Female,2,Canada,Mixed-Black/Asian,33,40,36,47,43,6
1,Male,5,Canada,Mixed-Black/Asian,26,45,38,38,53,5
3,Female,4,Australia,Mixed-Black/Asian,24,40,47,30,38,5
4,Male,5,Canada,Mixed-Black/Asian,56,41,49,32,36,5
4,Male,3,New Zealand,Mixed-Black/Asian,28,45,46,49,59,0
4,Male,3,Canada,Mixed-Black/Asian,27,49,49,39,52,6
4,Female,5,Canada,Mixed-Black/Asian,19,29,35,36,49,5
2,Male,4,Canada,Mixed-Black/Asian,22,34,34,45,47,5
3,Female,0,Canada,Mixed-Black/Asian,41,31,44,40,31,4
4,Female,5,USA,Mixed-Black/Asian,49,39,45,30,30,6
2,Female,3,Canada,Mixed-Black/Asian,32,27,29,30,47,6
3,Female,3,Canada,Mixed-Black/Asian,28,45,51,53,33,6
5,Female,1,Canada,Mixed-Black/Asian,25,43,38,39,53,6
3,Female,5,Canada,Mixed-Black/Asian,40,33,40,50,35,6
3,Female,0,Canada,Mixed-Black/Asian,51,16,37,45,34,6
4,Female,5,Canada,Mixed-Black/Asian,34,44,54,48,51,5
3,Female,4,Canada,Mixed-Black/Asian,28,37,37,49,42,5
4,Male,0,New Zealand,Mixed-Black/Asian,35,28,24,38,46,6
2,Female,5,Canada,Mixed-Black/Asian,41,31,46,43,25,5
2,Male,2,Canada,Mixed-Black/Asian,36,29,41,45,50,5
3,Female,0,Canada,Mixed-Black/Asian,24,51,52,49,53,6
3,Female,0,Canada,Mixed-Black/Asian,39,34,37,33,37,6
2,Male,0,Australia,Mixed-Black/Asian,25,34,47,39,42,5
2,Female,5,Canada,Mixed-Black/Asian,28,31,46,46,42,6
0,Female,5,Canada,Mixed-Black/Asian,40,38,48,51,41,6
2,Female,5,UK,Mixed-White/Asian,46,44,52,23,36,5
5,Female,1,Canada,Mixed-Black/Asian,33,34,28,41,36,6
2,Female,5,Canada,Mixed-Black/Asian,33,36,45,43,30,5
4,Female,1,UK,Mixed-Black/Asian,39,42,53,44,37,4
3,Female,5,Canada,Mixed-Black/Asian,22,48,48,43,47,5
5,Male,3,Canada,Mixed-Black/Asian,33,33,38,38,45,6
2,Female,2,Canada,Mixed-Black/Asian,36,37,46,29,47,6
2,Male,5,Canada,Mixed-Black/Asian,44,40,53,54,39,6
2,Female,2,Canada,Mixed-Black/Asian,34,33,37,43,37,4
2,Female,3,Canada,Mixed-Black/Asian,27,36,44,42,34,6
1,Female,5,Canada,Mixed-White/Asian,26,49,49,51,48,5
1,Male,5,Canada,Mixed-Black/Asian,31,43,54,49,52,6
3,Male,4,New Zealand,Mixed-Black/Asian,39,44,38,45,51,4
3,Female,2,Canada,Mixed-Black/Asian,19,45,48,49,49,4
3,Female,0,Canada,Mixed-Black/Asian,37,34,44,42,37,6
1,Male,2,Canada,Other,44,36,32,37,44,6
2,Female,2,Canada,Mixed-Black/Asian,46,39,45,35,42,6
3,Female,3,New Zealand,Mixed-Black/Asian,47,46,42,37,27,6
4,Male,5,Canada,Mixed-Black/Asian,34,40,36,45,36,5
3,Female,2,Canada,Mixed-Black/Asian,23,39,53,45,44,5
4,Female,0,Canada,Mixed-Black/Asian,36,47,42,36,33,6
4,Male,3,Canada,Mixed-Black/Asian,36,35,38,40,39,6
2,Male,4,Canada,Mixed-Black/Asian,36,40,34,43,44,6
1,Male,5,Canada,Mixed-Black/Asian,30,44,32,45,47,3
3,Female,0,Canada,Mixed-Black/Asian,38,44,46,40,39,5
3,Female,5,Canada,Mixed-Black/Asian,31,31,37,32,41,6
1,Male,0,Canada,Mixed-Black/Asian,49,42,48,41,40,6
3,Female,2,Canada,Black,18,50,54,44,50,5
1,Female,5,Canada,Mixed-Black/Asian,30,30,33,34,45,5
3,Female,5,Canada,Mixed-Black/Asian,46,38,41,39,42,5
3,Female,0,Canada,Mixed-Black/Asian,22,43,53,40,48,5
2,Female,4,Canada,Mixed-Black/Asian,43,43,40,50,46,6
3,Female,0,Canada,Mixed-Black/Asian,26,35,38,51,45,5
1,Female,2,Canada,Mixed-Black/Asian,32,38,53,37,41,5
2,Female,3,Australia,Mixed-Black/Asian,27,40,48,42,40,6
3,Male,0,Canada,Mixed-Black/Asian,35,35,34,45,42,6
1,Female,4,Canada,Mixed-Black/Asian,32,38,47,30,40,6
3,Male,0,New Zealand,Mixed-Black/Asian,31,47,44,50,43,6
3,Female,0,Canada,Mixed-Black/Asian,22,46,46,46,48,5
3,Female,3,Canada,Mixed-Black/Asian,29,36,44,45,49,6
5,Male,0,Canada,Mixed-Black/Asian,25,27,26,33,44,6
1,Female,5,Canada,Mixed-Black/Asian,34,41,35,38,39,6
3,Male,0,New Zealand,Mixed-Black/Asian,32,35,35,46,46,5
2,Female,5,Canada,Mixed-Black/Asian,37,28,42,35,39,5
2,Female,4,Canada,Mixed-Black/Asian,28,34,31,32,25,5
2,Female,3,Canada,Mixed-Black/Asian,32,34,32,50,37,6
5,Male,0,New Zealand,Mixed-Black/Asian,36,42,49,42,51,5
4,Male,5,Canada,Mixed-Black/Asian,28,31,46,37,41,6
4,Female,2,New Zealand,Mixed-Black/Asian,19,49,39,47,51,6
4,Male,0,Canada,Other,46,33,38,52,29,6
3,Female,0,Canada,Mixed-Black/Asian,32,41,44,41,41,4
1,Male,0,Canada,Mixed-Black/Asian,31,40,35,44,45,6
2,Female,4,Canada,Mixed-Black/Asian,43,39,38,44,41,5
4,Female,0,Canada,Mixed-Black/Asian,27,41,43,41,44,5
2,Male,4,Canada,Mixed-Black/Asian,39,26,36,38,38,6
2,Male,2,Canada,Mixed-Black/Asian,45,36,48,39,40,5
2,Male,2,Canada,Mixed-Black/Asian,49,42,51,45,36,6
2,Female,3,New Zealand,Mixed-Black/Asian,40,37,51,45,47,0
1,Female,0,Canada,Mixed-Black/Asian,22,38,43,45,42,6
5,Male,0,Canada,Mixed-Black/Asian,34,34,39,48,45,6
3,Female,2,Canada,Mixed-Black/Asian,29,36,39,47,41,5
3,Female,2,Canada,Mixed-Black/Asian,31,42,53,32,49,6
2,Male,5,New Zealand,Mixed-Black/Asian,37,32,48,42,47,6
3,Male,2,Canada,Mixed-Black/Asian,31,44,44,39,33,5
2,Female,0,New Zealand,Mixed-Black/Asian,25,37,46,39,48,4
1,Male,5,Canada,Mixed-Black/Asian,29,58,51,49,52,5
1,Female,2,Australia,Mixed-Black/Asian,26,55,50,33,39,5
3,Male,0,USA,Mixed-Black/Asian,30,43,34,42,48,5
3,Female,0,Canada,Mixed-Black/Asian,30,48,55,34,42,4
3,Male,3,New Zealand,Mixed-Black/Asian,36,44,44,41,43,6
1,Male,4,New Zealand,Mixed-Black/Asian,27,41,45,50,46,6
2,Female,3,Canada,Mixed-Black/Asian,18,43,33,38,54,6
1,Male,4,Canada,Mixed-Black/Asian,46,38,33,45,39,5
2,Male,0,Canada,Mixed-Black/Asian,37,40,37,38,46,6
1,Male,5,Canada,Mixed-Black/Asian,31,53,47,44,47,6
3,Male,4,Canada,Mixed-Black/Asian,28,43,36,37,38,6
3,Female,2,Canada,Black,34,42,47,41,41,6
1,Female,2,Canada,Mixed-Black/Asian,39,32,40,39,37,0
1,Male,5,Canada,Mixed-Black/Asian,25,42,52,35,36,6
3,Male,3,Canada,Mixed-Black/Asian,36,44,48,44,47,4
2,Female,4,Canada,Mixed-Black/Asian,17,52,55,38,31,4
1,Male,3,New Zealand,Mixed-Black/Asian,38,36,40,45,49,5
2,Female,3,New Zealand,Mixed-Black/Asian,42,36,47,31,39,6
1,Male,5,Canada,Mixed-Black/Asian,51,45,55,44,33,5
2,Male,4,UK,Mixed-Black/Asian,53,26,29,50,44,6
2,Male,5,Canada,Mixed-Black/Asian,32,44,39,45,51,5
1,Male,2,Canada,Mixed-Black/Asian,26,44,39,36,47,6
2,Male,3,Canada,Mixed-Black/Asian,50,31,35,29,36,5
4,Female,2,Canada,Mixed-Black/Asian,38,41,45,41,35,3
1,Male,5,Canada,Mixed-Black/Asian,38,35,43,43,43,5
3,Female,0,Canada,Mixed-Black/Asian,32,52,48,46,46,5
4,Female,5,Canada,Mixed-Black/Asian,31,48,49,44,49,6
3,Female,5,Canada,Mixed-Black/Asian,25,44,38,40,42,5
3,Male,0,Canada,Mixed-Black/Asian,32,34,40,45,48,5
2,Female,0,Canada,Black,36,44,47,44,44,3
3,Male,2,Canada,Mixed-Black/Asian,28,46,38,49,45,5
3,Male,0,Canada,Mixed-Black/Asian,45,42,36,46,55,4
3,Male,0,Canada,Mixed-White/Asian,22,39,37,57,46,5
2,Male,0,Republic of Ireland,Mixed-Black/Asian,33,36,42,42,44,6
2,Female,2,Canada,Mixed-Black/Asian,35,41,48,42,43,5
1,Male,2,Canada,Mixed-White/Black,60,29,44,47,37,6
2,Male,0,Canada,Mixed-Black/Asian,21,50,42,54,52,5
3,Male,5,Canada,Mixed-Black/Asian,34,38,34,54,52,5
3,Male,5,Canada,Mixed-Black/Asian,25,50,48,48,45,5
4,Female,5,Canada,Mixed-Black/Asian,31,34,47,45,48,6
3,Female,0,Canada,Mixed-Black/Asian,35,42,42,49,40,5
1,Male,5,Canada,Black,54,42,55,49,40,5
2,Male,0,Canada,Mixed-Black/Asian,28,44,38,51,46,5
2,Female,0,Canada,Mixed-Black/Asian,31,38,37,45,41,6
2,Female,3,Canada,Asian,21,48,42,51,54,6
3,Female,3,New Zealand,Mixed-Black/Asian,37,32,43,35,42,5
3,Male,5,Canada,Mixed-Black/Asian,31,41,38,56,47,5
4,Female,3,Canada,Mixed-Black/Asian,38,31,45,40,40,5
2,Female,2,Canada,Asian,30,43,41,44,48,6
2,Male,3,Canada,Mixed-Black/Asian,35,32,28,37,44,6
3,Male,5,Canada,Mixed-Black/Asian,28,52,41,55,52,6
2,Male,4,Canada,Mixed-Black/Asian,33,48,47,47,49,6
2,Male,5,Canada,Mixed-Black/Asian,41,28,33,46,35,6
1,Male,5,Canada,Mixed-Black/Asian,31,29,41,39,37,4
1,Female,5,Canada,Mixed-Black/Asian,29,46,34,48,47,6
0,Male,4,Canada,Mixed-Black/Asian,59,30,51,40,46,6
2,Male,5,Canada,Asian,42,30,37,45,40,6
2,Male,4,Canada,Mixed-Black/Asian,48,40,44,50,43,6
1,Female,0,Canada,Mixed-Black/Asian,26,47,33,40,47,6
2,Male,5,USA,Mixed-Black/Asian,33,41,44,41,45,6
3,Male,4,Canada,Asian,31,36,42,44,44,3
3,Female,2,Australia,Mixed-Black/Asian,46,45,49,42,44,6
2,Female,5,Canada,Asian,29,42,40,54,39,5
1,Male,5,Other,Mixed-Black/Asian,38,40,45,53,48,6
1,Male,4,Canada,Mixed-Black/Asian,53,40,44,49,43,6
1,Male,0,Canada,Mixed-Black/Asian,37,42,35,52,49,6
3,Female,2,Canada,Mixed-Black/Asian,33,38,44,40,52,5
0,Female,4,Canada,Mixed-Black/Asian,50,31,51,27,27,5
1,Male,3,Canada,Asian,36,40,39,40,48,6
1,Male,5,Canada,Mixed-Black/Asian,38,48,37,41,33,6
0,Male,0,Canada,Mixed-Black/Asian,32,40,36,47,41,5
3,Female,0,Canada,Mixed-Black/Asian,49,38,44,44,41,5
2,Female,2,Canada,Mixed-Black/Asian,32,46,58,48,36,6
3,Male,3,Canada,Mixed-Black/Asian,41,36,43,40,47,6
2,Male,5,Canada,Mixed-Black/Asian,46,44,54,44,44,5
2,Male,3,Canada,Mixed-Black/Asian,46,36,30,48,30,5
4,Male,5,Canada,Mixed-Black/Asian,42,40,49,51,43,6
2,Male,5,Canada,Mixed-White/Asian,34,36,40,35,38,4
2,Male,5,Canada,Mixed-Black/Asian,50,40,37,37,49,4
3,Male,5,Canada,Mixed-Black/Asian,44,33,43,48,41,6
2,Male,3,Canada,Mixed-Black/Asian,40,39,39,50,37,4
3,Male,3,Canada,Mixed-Black/Asian,39,44,35,45,48,5
1,Female,0,Canada,Mixed-Black/Asian,24,37,44,47,48,5
2,Male,4,Canada,Mixed-Black/Asian,39,45,44,51,47,4
0,Male,5,Canada,Mixed-Black/Asian,54,37,48,38,48,5
4,Female,0,Canada,Mixed-Black/Asian,36,34,39,47,44,5
2,Male,5,New Zealand,Mixed-Black/Asian,39,44,46,48,41,5
2,Male,2,Canada,Mixed-Black/Asian,29,49,47,45,53,4
4,Male,0,Canada,Mixed-Black/Asian,28,34,32,50,46,5
3,Male,0,Canada,Mixed-Black/Asian,40,30,31,47,40,6
0,Male,2,Canada,Mixed-Black/Asian,32,40,43,44,47,4
4,Male,3,Canada,Mixed-Black/Asian,23,40,40,47,40,5
0,Female,5,Canada,Mixed-White/Black,32,48,38,47,38,5
1,Male,3,New Zealand,Mixed-Black/Asian,28,38,45,45,38,4
3,Male,5,Canada,Mixed-Black/Asian,39,32,43,44,43,5
1,Male,5,New Zealand,Mixed-White/Black,27,48,46,43,45,5
4,Male,5,Canada,Mixed-Black/Asian,42,42,51,41,48,4
0,Female,5,Canada,Asian,30,42,42,51,35,4
4,Male,5,Canada,Mixed-Black/Asian,32,43,41,37,38,5
1,Male,3,Canada,Mixed-Black/Asian,35,43,50,48,42,6
3,Male,3,Canada,Mixed-Black/Asian,31,54,51,54,50,5
0,Male,5,Canada,Mixed-Black/Asian,30,41,40,50,51,6
2,Female,2,Canada,Mixed-White/Asian,34,33,42,34,50,6
2,Male,5,Canada,Mixed-Black/Asian,29,48,43,49,49,2
5,Female,1,Canada,Mixed-Black/Asian,22,32,29,37,37,5
1,Male,5,Canada,Mixed-Black/Asian,34,46,54,43,44,5
2,Male,0,Canada,Mixed-Black/Asian,34,47,48,37,34,6
0,Male,5,Canada,Mixed-Black/Asian,35,48,50,44,45,6
2,Male,3,Canada,Mixed-Black/Asian,29,43,42,47,41,3
2,Male,5,Canada,Mixed-Black/Asian,37,40,45,41,42,5
1,Female,2,Canada,Black,23,43,53,40,49,4
1,Male,4,Canada,Mixed-Black/Asian,43,41,36,43,32,5
3,Male,0,Canada,Mixed-Black/Asian,29,36,38,50,48,4
1,Male,3,Canada,Mixed-Black/Asian,37,44,40,54,46,5
3,Male,3,Republic of Ireland,Mixed-Black/Asian,41,39,37,49,43,6
1,Male,3,Canada,Mixed-Black/Asian,34,47,49,51,50,6
1,Male,5,New Zealand,Mixed-Black/Asian,51,38,41,50,39,4
1,Male,3,Canada,Mixed-Black/Asian,38,47,48,52,42,5
2,Female,3,Canada,Mixed-Black/Asian,48,45,49,52,29,6
1,Male,2,Australia,Mixed-Black/Asian,39,47,40,36,47,6
2,Male,4,Canada,Mixed-Black/Asian,32,36,47,50,44,5
0,Male,5,Canada,Mixed-Black/Asian,44,38,48,43,43,5
1,Male,5,Canada,Mixed-Black/Asian,34,43,43,38,48,6
2,Male,5,Canada,Mixed-Black/Asian,33,44,51,50,44,5
4,Female,5,Canada,Mixed-Black/Asian,25,47,44,50,48,6
3,Male,5,Canada,Mixed-Black/Asian,31,49,48,46,47,6
2,Male,5,Canada,Mixed-Black/Asian,24,44,52,40,44,5
3,Male,5,Canada,Mixed-Black/Asian,31,43,41,52,51,6
0,Female,4,Canada,Mixed-Black/Asian,38,46,39,39,46,6
3,Female,2,Canada,Mixed-Black/Asian,29,42,46,38,41,6
3,Male,5,Canada,Mixed-Black/Asian,26,49,47,49,52,6
2,Male,3,Canada,Mixed-Black/Asian,46,23,33,47,45,6
5,Male,2,Canada,Mixed-Black/Asian,37,32,43,40,44,5
1,Male,5,Canada,Mixed-Black/Asian,36,48,46,44,47,6
3,Female,5,Canada,Mixed-Black/Asian,29,45,36,49,44,4
1,Male,5,Canada,Mixed-Black/Asian,40,46,46,37,52,6
1,Male,3,Canada,Mixed-Black/Asian,36,46,37,56,54,6
1,Male,2,Canada,Mixed-Black/Asian,50,42,45,46,45,6
1,Male,0,Canada,Mixed-Black/Asian,45,39,30,45,50,6
0,Male,0,Canada,Mixed-Black/Asian,41,39,41,39,44,6
3,Male,3,Canada,Mixed-Black/Asian,20,44,51,53,44,5
2,Male,2,Canada,Mixed-Black/Asian,42,31,46,53,56,6
1,Male,0,Australia,Mixed-Black/Asian,55,31,40,48,34,6
0,Male,4,Canada,Mixed-Black/Asian,50,29,24,48,35,5
1,Male,5,Canada,Mixed-Black/Asian,30,47,51,49,48,4
2,Female,5,Canada,Mixed-Black/Asian,54,29,45,50,20,6
1,Male,4,Canada,Mixed-Black/Asian,33,33,34,33,31,6
1,Male,3,Canada,Mixed-Black/Asian,49,35,37,46,37,5
3,Female,2,Canada,Mixed-Black/Asian,27,38,38,47,52,5
3,Male,0,Canada,Mixed-Black/Asian,16,41,44,55,53,5
3,Male,3,Canada,Mixed-Black/Asian,47,42,45,49,49,6
3,Female,5,Canada,Mixed-Black/Asian,31,41,44,40,51,6
2,Male,5,Canada,Mixed-Black/Asian,42,33,41,42,47,5
0,Male,2,Canada,Mixed-Black/Asian,23,46,42,56,54,4
3,Male,0,Canada,Mixed-Black/Asian,28,41,48,43,48,5
1,Female,3,Canada,Mixed-Black/Asian,49,35,41,37,40,4
2,Male,2,Canada,Mixed-Black/Asian,25,51,53,51,47,6
0,Male,4,Canada,Mixed-Black/Asian,31,44,44,48,48,5
2,Female,0,Canada,Mixed-Black/Asian,36,40,52,25,40,6
5,Female,0,Canada,Mixed-Black/Asian,41,39,43,33,53,0
5,Female,3,Canada,Mixed-Black/Asian,26,38,48,46,47,5
3,Male,3,Canada,Mixed-Black/Asian,31,46,58,37,42,5
4,Female,5,Canada,Mixed-Black/Asian,29,37,51,43,41,6
3,Female,2,Canada,Black,27,45,44,49,44,4
4,Male,1,Canada,Mixed-Black/Asian,26,40,46,53,49,6
0,Male,5,Canada,Mixed-Black/Asian,31,41,46,47,46,5
2,Male,5,Canada,Asian,33,40,43,43,42,6
4,Female,5,Canada,Mixed-Black/Asian,25,39,45,45,47,6
2,Female,3,Canada,Asian,27,49,37,40,42,5
3,Male,2,Canada,Mixed-Black/Asian,26,51,50,46,54,6
2,Male,2,Canada,Asian,27,41,40,38,43,4
3,Male,2,Canada,Mixed-Black/Asian,17,53,56,48,47,6
3,Male,2,Canada,Mixed-Black/Asian,43,35,49,45,31,5
4,Female,0,Canada,Mixed-Black/Asian,26,40,46,45,42,6
1,Male,5,Canada,Mixed-Black/Asian,38,41,38,45,44,6
2,Female,2,Canada,Mixed-Black/Asian,38,46,47,37,46,4
2,Male,2,Canada,Mixed-Black/Asian,40,37,47,46,52,4
4,Female,0,Canada,Mixed-Black/Asian,27,43,42,41,38,3
1,Female,4,Canada,Mixed-Black/Asian,26,49,53,48,41,5
3,Male,5,Canada,Mixed-Black/Asian,33,37,44,48,42,5
3,Female,2,Canada,Mixed-Black/Asian,24,45,48,46,45,6
4,Female,2,Canada,Mixed-Black/Asian,35,41,51,43,35,6
3,Male,4,Canada,Mixed-Black/Asian,36,38,30,42,41,6
3,Male,2,Canada,Mixed-Black/Asian,35,40,47,49,48,5
3,Female,5,Canada,Mixed-Black/Asian,27,50,47,41,47,5
2,Female,3,Australia,Mixed-Black/Asian,25,34,51,40,44,5
2,Female,5,Canada,Mixed-Black/Asian,27,48,41,41,44,4
3,Male,5,Canada,Mixed-Black/Asian,38,30,45,34,41,6
3,Female,2,Canada,Mixed-Black/Asian,39,42,43,46,35,6
1,Female,4,Canada,Mixed-Black/Asian,42,42,41,41,42,6
1,Male,2,Canada,Mixed-Black/Asian,19,44,41,53,49,5
2,Male,3,Canada,Asian,27,46,40,52,48,6
2,Male,4,Canada,Mixed-Black/Asian,42,32,49,38,39,5
3,Male,3,Canada,Mixed-Black/Asian,35,39,42,39,45,3
1,Male,3,Canada,Mixed-Black/Asian,47,40,45,38,39,6
0,Male,0,Canada,Mixed-Black/Asian,32,43,45,39,41,6
2,Female,3,Canada,Mixed-Black/Asian,49,37,47,43,42,6
5,Male,0,Canada,Mixed-Black/Asian,44,34,47,42,49,6
2,Male,5,Canada,Mixed-Black/Asian,37,38,36,53,45,5
2,Male,3,UK,Mixed-Black/Asian,44,33,45,46,46,5
1,Male,4,UK,Mixed-Black/Asian,33,37,35,44,46,6
2,Male,0,Canada,Mixed-Black/Asian,41,37,41,47,48,6
4,Male,3,Canada,Mixed-Black/Asian,34,44,46,38,39,5
3,Male,5,Canada,Mixed-Black/Asian,32,40,37,42,48,6
3,Male,5,Canada,Mixed-Black/Asian,26,22,37,53,43,4
2,Female,2,Canada,Mixed-Black/Asian,38,31,40,36,47,6
3,Female,2,Canada,Mixed-Black/Asian,31,36,41,50,47,5
2,Male,0,Canada,Mixed-Black/Asian,21,45,45,43,52,5
2,Female,2,Canada,Mixed-Black/Asian,28,41,45,47,45,6
3,Male,5,Canada,Mixed-Black/Asian,24,39,40,44,46,6
0,Male,0,Canada,Mixed-Black/Asian,47,36,32,41,41,6
3,Male,2,Canada,Mixed-Black/Asian,32,40,43,45,43,6
1,Male,2,Canada,Mixed-Black/Asian,36,51,48,47,50,5
0,Male,0,Republic of Ireland,Mixed-Black/Asian,30,41,41,44,41,4
3,Male,0,Canada,Mixed-Black/Asian,28,45,50,43,45,4
4,Male,5,Canada,Mixed-Black/Asian,31,45,53,40,36,6
2,Female,5,Canada,Asian,28,52,39,43,49,4
1,Male,3,Canada,Mixed-Black/Asian,36,40,41,45,48,5
3,Male,0,Canada,Mixed-White/Asian,39,38,37,42,46,6
3,Male,5,Canada,Mixed-Black/Asian,43,38,42,36,41,5
2,Male,4,Canada,Mixed-Black/Asian,41,38,39,54,52,6
0,Male,5,Canada,Mixed-Black/Asian,28,43,49,49,43,6
3,Female,0,Canada,Mixed-Black/Asian,45,32,34,45,36,5
1,Male,0,Canada,Mixed-Black/Asian,38,40,55,37,48,5
2,Male,3,Canada,Mixed-Black/Asian,28,48,45,49,55,6
2,Female,0,Canada,Mixed-Black/Asian,30,28,32,49,45,5
3,Female,2,Canada,Mixed-Black/Asian,20,50,46,53,50,5
1,Male,3,Canada,Mixed-Black/Asian,38,38,37,50,38,6
3,Female,3,Canada,Mixed-Black/Asian,32,43,39,46,41,5
3,Male,3,Canada,Mixed-Black/Asian,26,43,41,48,47,5
2,Female,1,Canada,Mixed-Black/Asian,33,37,39,40,46,6
4,Male,0,New Zealand,Mixed-Black/Asian,31,37,35,49,47,0
0,Male,4,Canada,Mixed-Black/Asian,59,26,40,46,28,6
5,Female,4,New Zealand,Mixed-Black/Asian,24,37,39,44,43,6
5,Male,0,New Zealand,Mixed-Black/Asian,34,39,36,34,42,6
1,Male,2,Canada,Mixed-Black/Asian,40,36,50,46,34,5
3,Male,2,Canada,Asian,42,41,45,43,50,0
3,Male,3,New Zealand,Mixed-Black/Asian,30,42,53,31,45,6
2,Female,0,Canada,Mixed-Black/Asian,20,48,48,48,51,4
3,Male,3,Canada,Mixed-Black/Asian,34,38,42,49,47,5
2,Male,2,Canada,Mixed-Black/Asian,31,47,52,45,45,5
4,Male,3,Canada,Mixed-Black/Asian,21,46,44,49,53,6
4,Male,3,Canada,Mixed-Black/Asian,42,40,46,42,46,6
0,Male,1,Canada,Mixed-Black/Asian,38,39,46,42,39,5
2,Male,2,Canada,Mixed-Black/Asian,20,41,55,54,49,5
2,Male,5,Canada,Mixed-Black/Asian,36,43,45,49,44,6
3,Male,5,Canada,Mixed-Black/Asian,34,51,56,57,44,5
3,Female,2,Canada,Mixed-Black/Asian,27,45,46,43,45,6
3,Female,3,Canada,Asian,30,42,43,42,44,6
3,Female,5,Canada,Mixed-Black/Asian,41,35,42,44,41,5
2,Male,4,Canada,Mixed-Black/Asian,46,36,52,51,37,5
2,Female,3,Canada,Mixed-Black/Asian,40,41,46,40,38,4
3,Female,5,Canada,Mixed-Black/Asian,34,35,49,48,31,5
1,Female,0,Canada,Mixed-Black/Asian,31,40,45,39,45,5
2,Female,3,Canada,Mixed-Black/Asian,38,39,46,45,40,5
1,Female,1,Canada,Mixed-Black/Asian,42,40,54,54,48,6
3,Female,5,Canada,Mixed-Black/Asian,25,39,37,52,45,5
2,Female,0,Canada,Mixed-Black/Asian,57,31,39,31,29,5
2,Female,4,Canada,Mixed-Black/Asian,40,34,52,44,39,6
1,Male,4,Canada,Mixed-Black/Asian,30,50,50,44,45,5
3,Male,5,Canada,Mixed-Black/Asian,41,45,46,44,41,5
2,Male,3,Canada,Mixed-Black/Asian,42,44,53,49,50,4
3,Female,5,Canada,Mixed-Black/Asian,40,42,45,47,45,5
3,Male,3,Canada,Mixed-Black/Asian,48,39,37,48,45,6
2,Male,0,Canada,Mixed-Black/Asian,40,39,47,43,38,4
3,Female,3,Canada,Black,34,40,42,40,32,4
2,Male,5,Canada,Black,26,43,45,42,46,5
3,Male,5,Canada,Mixed-Black/Asian,25,43,48,46,44,5
1,Female,3,Canada,Mixed-Black/Asian,35,33,34,44,47,5
1,Male,5,Canada,Mixed-Black/Asian,48,42,48,48,37,5
0,Female,0,New Zealand,Mixed-Black/Asian,38,42,47,37,40,0
